mls_id,address,city,bedrooms,washrooms,parking,type,price,lat,lng,Elementary,Intermediate,Secondary
W12701306,30 Michael Power Place,Toronto,3,3,1,Detached,960000,43.6447619,-79.531351,Islington JMS,Islington JMS,Etobicoke CI
E12701236,9 Everett Crescent,Toronto,2,1,0,Detached,699000,43.6956735,-79.309727,Parkside ES,DA Morrison MS,East York CI
W12701232,167 SHOREHAM Drive,Toronto,7,5,5,Detached,1159000,43.7666295,-79.5292935,Blacksmith PS,Brookview MS,Westview Centennial SS
C12701212,34 Tollerton Avenue,Toronto,3,3,6,Detached,1288000,43.7888362,-79.3874787,Steelesview PS,Zion Heights MS,AY Jackson SS
C12701180,840 Richmond Street W,Toronto,3,4,2,Detached,2999800,43.6446513,-79.4115266,Niagara Street Jr PS,Ryerson CS,Parkdale CI
C12701062,316 35 Hollywood Avenue,Toronto,1,1,1,Condo,509888,43.7680102,-79.401352,Avondale PS,Avondale PS,Georges Vanier SS
C12701052,3609 180 University Avenue,Toronto,2,3,1,Condo,2779000,43.6489079,-79.3860758,Ogden Jr PS,Ryerson CS,Jarvis CI
W12701040,1002 3 Michael Power Place,Toronto,2,2,1,Condo,599000,43.6442838,-79.5302355,Islington JMS,Islington JMS,Etobicoke CI
E12700976,309 175 Bamburgh Circle,Toronto,3,2,2,Condo,588000,43.8125538,-79.3215833,,,
W12700946,2310 710 Humberwood Boulevard,Toronto,2,1,1,Condo,474000,43.7247639,-79.6165755,Albion Heights JMS,Albion Heights JMS,West Humber CI
C12700902,717 19 Singer Court,Toronto,2,1,0,Condo,449999,43.7696586,-79.3700803,Crestview PS,Bayview MS,Georges Vanier SS
E12700890,101 1483 Birchmount Road,Toronto,3,2,1,Condo,495000,43.7571545,-79.2885985,Ellesmere-Statton PS,Ellesmere-Statton PS,Winston Churchill CI
C12700866,2310 81 Navy Wharf Court,Toronto,2,2,1,Condo,779900,43.6413882,-79.3914703,Jean Lumb PS,Jean Lumb PS,Harbord CI
W12700836,A105 160 Canon Jackson Drive,Toronto,1,1,1,Condo,499000,43.6975628,-79.4738048,Charles E Webster PS,Charles E Webster PS,York Memorial CI
E12700818,21 Faircroft Boulevard,Toronto,3,1,3,Detached,1695000,43.7297621,-79.2262275,Fairmount PS,Fairmount PS,RH King Academy */ Sir Wilfrid Laurier CI
